symbol,roe,profit_growth,cashflow_ratio,debt_ratio,pe_percentile,pb_percentile,ps_percentile,updated_at
001696,0.12,0.18,1.05,0.48,0.62,0.58,0.60,2026-03-19
600370,0.06,0.10,0.96,0.55,0.35,0.32,0.40,2026-03-19
600396,0.09,0.14,1.02,0.52,0.44,0.38,0.42,2026-03-19
600307,0.05,0.08,0.92,0.61,0.28,0.24,0.30,2026-03-19
002463,0.15,0.22,1.08,0.40,0.66,0.64,0.61,2026-03-19
300166,0.10,0.16,1.00,0.46,0.53,0.49,0.50,2026-03-19
300317,0.07,0.09,0.95,0.57,0.41,0.39,0.43,2026-03-19
000020,0.08,0.12,0.98,0.51,0.37,0.35,0.36,2026-03-19
301308,0.18,0.28,1.12,0.32,0.72,0.70,0.68,2026-03-19
603168,0.11,0.13,1.01,0.49,0.47,0.45,0.44,2026-03-19
